quant_trading_engine  | 2026-03-23 13:17:39 | INFO     | services.signal_engine.engine:sem_fetch:110 - ⏳ Прогресс загрузки истории: 50/80
quant_trading_engine  | 2026-03-23 13:17:40 | INFO     | services.signal_engine.engine:sem_fetch:110 - ⏳ Прогресс загрузки истории: 55/80
quant_trading_engine  | 2026-03-23 13:17:41 | INFO     | services.signal_engine.engine:sem_fetch:110 - ⏳ Прогресс загрузки истории: 60/80
quant_trading_engine  | 2026-03-23 13:17:43 | INFO     | services.signal_engine.engine:sem_fetch:110 - ⏳ Прогресс загрузки истории: 65/80
quant_trading_engine  | 2026-03-23 13:17:45 | INFO     | services.signal_engine.engine:sem_fetch:110 - ⏳ Прогресс загрузки истории: 70/80
quant_trading_engine  | 2026-03-23 13:17:46 | INFO     | services.signal_engine.engine:sem_fetch:110 - ⏳ Прогресс загрузки истории: 75/80
quant_trading_engine  | 2026-03-23 13:17:48 | INFO     | services.signal_engine.engine:sem_fetch:110 - ⏳ Прогресс загрузки истории: 80/80
quant_trading_engine  | 2026-03-23 13:17:48 | INFO     | services.signal_engine.engine:_prefetch_history:123 - ✅ Загружена история для 80 инструментов.
quant_trading_engine  | 2026-03-23 13:17:48 | INFO     | services.market_data.market_streamer:start:153 - MarketDataService успешно запущен
quant_trading_engine  | 2026-03-23 13:17:48 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для BTC/USDT (1m)
quant_trading_engine  | 2026-03-23 13:17:48 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для BTC/USDT (5m)
quant_trading_engine  | 2026-03-23 13:17:48 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для BTC/USDT (15m)
quant_trading_engine  | 2026-03-23 13:17:48 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для BTC/USDT (1h)
quant_trading_engine  | 2026-03-23 13:17:48 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для BTC/USDT (4h)
quant_trading_engine  | 2026-03-23 13:17:48 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для ETH/USDT (1m)
quant_trading_engine  | 2026-03-23 13:17:48 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для ETH/USDT (5m)
quant_trading_engine  | 2026-03-23 13:17:49 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для ETH/USDT (15m)
quant_trading_engine  | 2026-03-23 13:17:49 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для ETH/USDT (1h)
quant_trading_engine  | 2026-03-23 13:17:49 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для ETH/USDT (4h)
quant_trading_engine  | 2026-03-23 13:17:49 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для SOL/USDT (1m)
quant_trading_engine  | 2026-03-23 13:17:49 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для SOL/USDT (5m)
quant_trading_engine  | 2026-03-23 13:17:49 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для SOL/USDT (15m)
quant_trading_engine  | 2026-03-23 13:17:49 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для SOL/USDT (1h)
quant_trading_engine  | 2026-03-23 13:17:49 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для SOL/USDT (4h)
quant_trading_engine  | 2026-03-23 13:17:49 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для BNB/USDT (1m)
quant_trading_engine  | 2026-03-23 13:17:49 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для BNB/USDT (5m)
