Монета,ТФ,Стратегия,Сделок,Win Rate,Profit USD,Max DD %,Sharpe,PF
NEAR/USDT,1h,StrategyRuleOf7,24,70.83,883.53,3.18,0.3418,0.8576
LINK/USDT,15m,StrategyDonchian,109,68.81,657.02,3.72,0.1199,0.588
ETH/USDT,15m,StrategyWRD,152,65.79,625.67,7.25,0.0963,0.6447
NEAR/USDT,1h,StrategyDonchian,21,71.43,569.78,2.16,0.3023,0.7513
BTC/USDT,1h,StrategyDonchian,23,82.61,505.44,1.48,0.4139,0.5141
BTC/USDT,1h,StrategyWRD,23,78.25999999999999,476.58,0.87,0.3979,0.6359
DOT/USDT,1h,StrategyDonchian,21,71.43,467.35,3.93,0.2425,0.6629
LINK/USDT,15m,StrategyRuleOf7,113,66.36999999999999,387.12,3.23,0.0683,0.5878
BTC/USDT,4h,StrategyWRD,3,100.0,266.78,0.0,6.1727,88.9269
ETH/USDT,1h,StrategyWRD,28,71.43,234.47,2.9,0.1089,0.5089
NEAR/USDT,1h,StrategyWRD,20,65.0,222.55,2.7,0.1234,0.7007
AVAX/USDT,1h,StrategyFakeout,3,100.0,206.14,0.0,3.3094,68.7128
XRP/USDT,4h,StrategyRuleOf7,5,80.0,203.5,1.1,0.5083,0.7081
XRP/USDT,4h,StrategyDonchian,5,80.0,203.5,1.1,0.5083,0.7081
DOGE/USDT,1h,StrategyMATrend,7,85.71,200.63,0.98,0.5291,0.5031
BNB/USDT,1h,StrategyWRD,29,72.41,187.81,2.35,0.1245,0.4986
BTC/USDT,1h,StrategyRuleOf7,28,71.43,183.72,2.15,0.1107,0.5107
DOT/USDT,15m,StrategyMATrend,4,75.0,180.56,0.46,0.8464,1.6264
ADA/USDT,15m,StrategyFakeout,7,85.71,178.78,0.67,0.6201,0.5986
ETH/USDT,1h,StrategyFakeout,3,100.0,165.16,0.0,3.2387,55.0529
BTC/USDT,1h,StrategyFakeout,3,100.0,151.85,0.0,3.0058,50.6155
